Questions,Category,text,label
Whta is Backface?,BT1,whta is backface?,0
Compare the environmental impact of two transportation systems.,BT5,compare the environmental impact of two transportation systems.,4
Explain Landslides causes and remedial measures.,BT2,explain landslides causes and remedial measures.,1
Give THREE examples of symptoms that resemble herbicide damage on plants. ,BT2,give three examples of symptoms that resemble herbicide damage on plants.,1
Difference between Rankin cycle and Carnot cycle.,BT1,difference between rankin cycle and carnot cycle.,0
Define prejudice. ,BT1,define prejudice.,0
Outline the aim of two studies within the,BT2,outline the aim of two studies within the,1
Explain Coriolis Component of Acceleration.,BT2,explain coriolis component of acceleration.,1
Draw and explain block diagram of 8051 in detail.,BT2,draw and explain block diagram of 8051 in detail.,1
Sketch & explain the Torque- Armature current characteristics of,BT1,sketch & explain the torque- armature current characteristics of,0
Explain the types of models in Batch Process.,BT1,explain the types of models in batch process.,0
A Cantilever beam of span 2.,BT3,a cantilever beam of span 2.,2
"Interpret the concept of lambda expressions in functional programming languages, demonstrating their use for concise code and higher-order functions.",BT2,"interpret the concept of lambda expressions in functional programming languages, demonstrating their use for concise code and higher-order functions.",1
Determine the concentration of a substance using spectrophotometry.,BT3,determine the concentration of a substance using spectrophotometry.,2
Define annealing and explain types of annealing?,BT1,define annealing and explain types of annealing?,0
Draw the flow chart of the PNK system,BT1,draw the flow chart of the pnk system,0
Explain the construction and working principle of universal motor.,BT2,explain the construction and working principle of universal motor.,1
Paraphrase the famous speech.,BT2,paraphrase the famous speech.,1
Reproduce the steps to configure a static IP address on a Linux machine?,BT1,reproduce the steps to configure a static ip address on a linux machine?,0
What are Pumps and Compressor used in Hydraulic and Pneumatic Systems?,BT1,what are pumps and compressor used in hydraulic and pneumatic systems?,0
Explain UP Counter and DOWN Counter.,BT1,explain up counter and down counter.,0
Compare superscalar and super pipelined approaches.,BT4,compare superscalar and super pipelined approaches.,3
Demonstrate the steps of a mechanical process through animations.,BT3,demonstrate the steps of a mechanical process through animations.,2
Label the main organs of the human digestive system.,BT1,label the main organs of the human digestive system.,0
State the limitations of single linked list. Represent following polynomial using linked list.,BT1,state the limitations of single linked list. represent following polynomial using linked list.,0
"Explain the concept of noise in communication systems, discussing its sources and mitigation techniques.",BT2,"explain the concept of noise in communication systems, discussing its sources and mitigation techniques.",1
Explain the process of mitosis.,BT2,explain the process of mitosis.,1
How do you derive the equation for calculating the resistance of an electrical circuit?,BT6,how do you derive the equation for calculating the resistance of an electrical circuit?,5
A solution was prepared by dissolving certain amount of compound in 31.,BT3,a solution was prepared by dissolving certain amount of compound in 31.,2
Explain with diagram the concept of voltage follower circuit using op-amp.,BT1,explain with diagram the concept of voltage follower circuit using op-amp.,0
How would you differentiate between those two methods?,BT2,how would you differentiate between those two methods?,1
"A telecommunications company is considering the deployment of 5G technology for next-generation wireless networks. Evaluate the potential benefits and risks of 5G implementation, including factors such as network speed, latency, and spectrum allocation. Recommend deployment strategies and use cases to maximize the value of 5G technology for improved connectivity and innovative services.",BT5,"a telecommunications company is considering the deployment of 5g technology for next-generation wireless networks. evaluate the potential benefits and risks of 5g implementation, including factors such as network speed, latency, and spectrum allocation. recommend deployment strategies and use cases to maximize the value of 5g technology for improved connectivity and innovative services.",4
